Factor,OLS Coef (BO),Bonf Tier (BO),OLS Coef (Rating),Bonf Tier (Rating),OLS Coef (Composite),Bonf Tier (Composite),Stability (BO),Overall Verdict
Factor_14,0.17026836841324766,SUGGESTIVE,-0.1559897685154293,WEAK,0.1139466433104724,STRONG,UNSTABLE,WEAK
Factor_0,0.2396071470086687,STRONG,-0.0187456742526936,STRONG,0.1059454081331809,STRONG,STABLE,STRONG POSITIVE
Factor_7,0.15628839971368258,STRONG,-0.3785135818964726,WEAK,0.0870530988984744,STRONG,STABLE,STRONG POSITIVE
Factor_9,0.050871385457596396,WEAK,-0.5459819586761248,WEAK,0.0846271814183245,STRONG,UNSTABLE,WEAK
Factor_23,0.23288827989663785,STRONG,-0.4600452544286438,WEAK,0.0831665912616324,STRONG,STABLE,STRONG POSITIVE
Factor_6,0.2167515442523935,STRONG,-0.4725907427724986,WEAK,0.0733991329523789,STRONG,STABLE,STRONG POSITIVE
Factor_3,0.3724848808510586,STRONG,-0.9017425220989804,SUGGESTIVE,0.0667141041926212,STRONG,UNSTABLE,STRONG POSITIVE
Factor_1,0.279988476168201,STRONG,-0.0069852730995066,WEAK,0.0646285590516379,STRONG,STABLE,STRONG POSITIVE
Factor_15,0.20369410145428102,STRONG,-0.5751117415530045,SUGGESTIVE,0.0610226610430594,STRONG,STABLE,STRONG POSITIVE
Factor_24,0.21061135548865484,STRONG,-0.5061127439623092,WEAK,0.0607107404410056,STRONG,STABLE,STRONG POSITIVE
Factor_22,0.08258345233496645,WEAK,-0.4623140362291797,WEAK,0.0600782596438084,STRONG,UNSTABLE,WEAK
Factor_29,0.04829501779797318,WEAK,-0.9558760991942548,WEAK,0.0562916648884253,STRONG,STABLE,WEAK
Factor_21,0.18961427023919053,STRONG,-0.126092270076169,WEAK,0.0437163353676645,STRONG,STABLE,STRONG POSITIVE
Factor_5,0.21692396879046338,STRONG,-1.081207430998572,WEAK,0.0427092011889399,STRONG,STABLE,STRONG POSITIVE
Factor_10,0.06571581591019537,WEAK,-0.4044701417467481,WEAK,0.0377694026276269,SUGGESTIVE,UNSTABLE,WEAK
Factor_25,0.05564412717376932,WEAK,-1.3014794806444492,WEAK,0.037646822684287,SUGGESTIVE,STABLE,WEAK
Factor_18,0.05337128923819545,WEAK,-0.2942388350486658,WEAK,0.030515159097336,SUGGESTIVE,UNSTABLE,WEAK
Factor_27,-0.03443416838253466,WEAK,-0.6854064982879637,WEAK,0.0236314991209019,WEAK,STABLE,MIXED
Factor_19,0.02009571024947565,WEAK,-0.6017530392896473,SUGGESTIVE,0.0212653668948635,WEAK,UNSTABLE,WEAK
Factor_11,-0.08633946441663198,WEAK,-0.5657143880133839,WEAK,0.01717193737843,WEAK,UNSTABLE,MIXED
Factor_13,-0.0189794236478128,WEAK,0.4407677124885707,WEAK,0.0164630836146243,WEAK,STABLE,MIXED
Factor_12,-0.0029406442188566473,WEAK,-0.4953142434543396,WEAK,0.0119834015075095,WEAK,UNSTABLE,MIXED
Factor_2,-0.2344532624173472,STRONG,1.7114341888980025,SUGGESTIVE,-0.0194726735626919,WEAK,STABLE,STRONG NEGATIVE
Factor_4,-0.24575916690653843,STRONG,0.7597657192567415,WEAK,-0.0261628677247169,WEAK,STABLE,STRONG NEGATIVE
Factor_28,-0.23782808864577332,STRONG,-0.5593360532251409,WEAK,-0.0287626945401822,WEAK,STABLE,STRONG NEGATIVE
Factor_8,-0.21239114091928446,STRONG,-0.7982603600831293,SUGGESTIVE,-0.0323471564987376,STRONG,STABLE,STRONG NEGATIVE
Factor_20,0.02535540982018447,WEAK,-0.46145323953697,WEAK,-0.0502429247022132,STRONG,UNSTABLE,MIXED
Factor_17,-0.07488232623114843,WEAK,-0.1045184065956421,WEAK,-0.0531822623469331,STRONG,STABLE,WEAK
Factor_26,0.2214819191807289,SUGGESTIVE,-0.6479655922215987,WEAK,-0.0904766066302735,STRONG,UNSTABLE,MIXED
Factor_16,-0.02715412481606716,WEAK,-0.751615886322681,WEAK,-0.1377390971635011,STRONG,UNSTABLE,WEAK
