Factor,OLS_Coef_A+,Bonf_Tier_A+,OLS_Coef_B+,Bonf_Tier_B+,Stability,Overall_Verdict
Factor_26,0.6556283340214748,STRONG,0.46729297850170437,STRONG,STABLE,STRONG POSITIVE
Factor_5,0.4638623126578588,STRONG,0.3201236567490864,STRONG,STABLE,STRONG POSITIVE
Factor_4,-0.44964252124897075,STRONG,-0.2871483619633861,STRONG,STABLE,STRONG NEGATIVE
Factor_28,-0.4416563317373212,STRONG,-0.202217383402011,STRONG,STABLE,STRONG NEGATIVE
Factor_1,0.4242515685692678,STRONG,0.19968563668536077,STRONG,STABLE,STRONG POSITIVE
Factor_11,0.300185829383925,STRONG,0.12431485916454182,STRONG,STABLE,STRONG POSITIVE
Factor_3,0.2946426546584545,STRONG,0.31255990838508785,STRONG,STABLE,STRONG POSITIVE
Factor_6,0.23731413282693858,STRONG,0.171267306989357,STRONG,STABLE,STRONG POSITIVE
Factor_23,0.2277903667303984,STRONG,0.07602992345502319,SUGGESTIVE,STABLE,STRONG POSITIVE
Factor_27,-0.22232135242835738,STRONG,-0.038296736334810344,WEAK,STABLE,STRONG NEGATIVE
Factor_7,0.21070531400805304,STRONG,0.12339937017026514,STRONG,STABLE,STRONG POSITIVE
Factor_0,0.20954589586872796,STRONG,0.11471904669594246,SUGGESTIVE,STABLE,STRONG POSITIVE
Factor_21,0.18960194757652193,STRONG,0.17634415399451653,STRONG,STABLE,STRONG POSITIVE
Factor_24,0.18718462448221018,STRONG,0.1615806793897503,STRONG,STABLE,STRONG POSITIVE
Factor_17,-0.17551653551929863,STRONG,-0.1329587785155808,STRONG,STABLE,STRONG NEGATIVE
Factor_15,0.1626048305820822,STRONG,0.15358531158290467,STRONG,STABLE,STRONG POSITIVE
Factor_25,0.1463723462688178,STRONG,0.07574215072700707,SUGGESTIVE,STABLE,STRONG POSITIVE
Factor_16,-0.13294165819715098,WEAK,-0.03808208711158301,WEAK,UNSTABLE,MIXED
Factor_18,0.12153762861211881,SUGGESTIVE,0.05715448825415881,WEAK,STABLE,SUGGESTIVE
Factor_10,0.103851932555308,SUGGESTIVE,0.03921970316325285,WEAK,STABLE,SUGGESTIVE
Factor_2,-0.08938104455167517,SUGGESTIVE,-0.046476874654442835,WEAK,STABLE,SUGGESTIVE
Factor_8,0.08797234675448662,SUGGESTIVE,-0.012868152113752807,WEAK,STABLE,SUGGESTIVE
Factor_20,-0.05981704305964253,WEAK,0.06956164932077824,SUGGESTIVE,STABLE,WEAK
Factor_14,-0.059712885556097994,WEAK,0.027037275809920103,WEAK,STABLE,WEAK
Factor_9,-0.056120950156800964,WEAK,-0.05929780607780577,WEAK,STABLE,WEAK
Factor_22,0.044109151508201105,WEAK,-0.1325787107921672,SUGGESTIVE,STABLE,WEAK
Factor_13,-0.028969144120981616,WEAK,0.0012431680858462357,WEAK,STABLE,WEAK
Factor_29,-0.01409317951939959,WEAK,0.008016159204837114,WEAK,STABLE,WEAK
Factor_19,0.01309144263689696,WEAK,-0.043261253980865666,WEAK,STABLE,WEAK
Factor_12,0.008951377332728105,WEAK,-0.008382136264731166,WEAK,STABLE,WEAK
