Factor,Coefficient,StdErr,t_stat,p_value,Tier
Factor_14,0.1139466433104724,0.014848873476429504,7.673756766218437,2.1538326677728037e-14,STRONG
Factor_0,0.10594540813318098,0.01226409408080819,8.638665639313109,0.0,STRONG
Factor_7,0.0870530988984744,0.0112537321064849,7.735487043299222,1.354472090042691e-14,STRONG
Factor_9,0.08462718141832452,0.012577078932774714,6.728683335030509,2.000355436848622e-11,STRONG
Factor_23,0.0831665912616324,0.01206743424620742,6.891820544849472,6.534772722943671e-12,STRONG
Factor_6,0.07339913295237896,0.01234593361249752,5.945207163440326,3.0397135919457696e-09,STRONG
Factor_3,0.06671410419262121,0.01815714630334454,3.6742615319640013,0.00024220884330472536,STRONG
Factor_1,0.06462855905163793,0.011718421149109004,5.51512513753202,3.745037546742935e-08,STRONG
Factor_15,0.06102266104305942,0.010596758064246238,5.7586160477657415,9.232626441146863e-09,STRONG
Factor_24,0.060710740441005606,0.011966716327582276,5.073299874341673,4.1187486954363806e-07,STRONG
