Factor,BoxOffice_Coef,BO_Dir,Rating_Coef,Rating_Dir,Agreement
Factor_2,5.448188900791327,+,1.7114341888980023,+,YES
Factor_25,-3.6535642740310026,-,-1.3014794806444492,-,YES
Factor_5,-2.33958126625883,-,-1.081207430998572,-,YES
Factor_29,-4.723632317127548,-,-0.9558760991942549,-,YES
Factor_3,-0.5627777463603544,-,-0.9017425220989803,-,YES
Factor_8,2.355850335736753,+,-0.7982603600831293,-,NO
Factor_4,-7.607657165506313,-,0.7597657192567415,+,NO
Factor_16,-0.011345584054900937,-,-0.751615886322681,-,YES
Factor_27,-3.8215017976032986,-,-0.6854064982879637,-,YES
Factor_26,-2.6112916653191407,-,-0.6479655922215987,-,YES
Factor_19,0.08556853962653993,+,-0.6017530392896473,-,NO
Factor_15,-0.3816992743939138,-,-0.5751117415530045,-,YES
Factor_11,1.3880600671974652,+,-0.5657143880133839,-,NO
Factor_28,-1.4038184133386553,-,-0.5593360532251409,-,YES
Factor_9,0.688160365689937,+,-0.5459819586761248,-,NO
Factor_24,1.2542766797143319,+,-0.5061127439623092,-,NO
Factor_12,-0.04028455084244775,-,-0.49531424345433966,-,YES
Factor_6,0.23503411927813606,+,-0.4725907427724986,-,NO
Factor_22,-0.44956521239071884,-,-0.46231403622917977,-,YES
Factor_20,-0.27373706629889905,-,-0.46145323953697,-,YES
Factor_23,-1.3207643650685776,-,-0.46004525442864386,-,YES
Factor_13,2.881491190143238,+,0.4407677124885707,+,YES
Factor_10,0.8270972028888185,+,-0.4044701417467481,-,NO
Factor_7,0.18448844882144355,+,-0.37851358189647266,-,NO
Factor_18,1.0013379253499437,+,-0.2942388350486658,-,NO
Factor_14,0.955603762094497,+,-0.15598976851542934,-,NO
Factor_21,0.2973692865602164,+,-0.12609227007616902,-,NO
Factor_17,0.5718552036860085,+,-0.10451840659564213,-,NO
Factor_0,-0.07429631114867868,-,-0.018745674252693623,-,YES
Factor_1,-0.011875459087826806,-,-0.006985273099506625,-,YES
