"movie_id","movie_name","genre","year"
"tt0023293","The Old Dark House","Adventure,Comedy,Drama","1932"
"tt0035423","Kate & Leopold","Comedy,Fantasy,Romance","2001"
"tt0044000","The White Sheik","Comedy,Drama,Romance","1952"
"tt0045274","Umberto D.","Drama","1952"
"tt0046478","Ugetsu","Drama,Fantasy,War","1953"
"tt0050634","The Cranes Are Flying","Drama,Romance,War","1957"
"tt0063032","The Great Silence","Drama,Western","1968"
"tt0063823","Yellow Submarine","Adventure,Animation,Comedy","1968"
"tt0064603","The Love Bug","Comedy,Family,Sport","1968"
"tt0065207","Where Eagles Dare","Action,Adventure,War","1968"
"tt0067454","Multiple Maniacs","Comedy,Crime,Horror","1970"
"tt0079672","Opening Night","Drama","1977"
"tt0082979","Reds","Biography,Drama,History","1981"
"tt0084707","Sophie's Choice","Drama,Romance","1982"
"tt0086034","Octopussy","Action,Adventure,Thriller","1983"
"tt0092644","Beverly Hills Cop II","Action,Comedy,Crime","1987"
"tt0097940","Mystery Train","Comedy,Crime,Drama","1989"
"tt0098724","Sex, Lies, and Videotape","Drama","1989"
"tt0100403","Predator 2","Action,Horror,Sci-Fi","1990"
"tt0101761","The Doors","Biography,Drama,Music","1991"
"tt0103644","Alien?","Action,Horror,Sci-Fi","1992"
"tt0108525","Wayne's World 2","Comedy,Music","1993"
"tt0109254","Beverly Hills Cop III","Action,Comedy,Crime","1994"
"tt0109813","The Flintstones","Comedy,Family,Fantasy","1994"
"tt0110005","Heavenly Creatures","Biography,Crime,Drama","1994"
"tt0110475","The Mask","Comedy,Crime,Fantasy","1994"
"tt0110657","The Next Karate Kid","Action,Drama,Family","1994"
"tt0116250","Evita","Biography,Drama,History","1996"
"tt0116629","Independence Day","Action,Adventure,Sci-Fi","1996"
"tt0118583","Alien: Resurrection","Action,Horror,Sci-Fi","1997"
"tt0118689","Bean","Adventure,Comedy,Family","1997"
"tt0119164","The Full Monty","Comedy,Drama","1997"
"tt0119174","The Game","Drama,Mystery,Thriller","1997"
"tt0119528","Liar Liar","Comedy,Fantasy","1997"
"tt0120484","The Waterboy","Comedy,Sport","1998"
"tt0120601","Being John Malkovich","Comedy,Drama,Fantasy","1999"
"tt0120647","Deep Impact","Action,Drama,Sci-Fi","1998"
"tt0120660","Enemy of the State","Action,Thriller","1998"
"tt0120667","Fantastic Four","Action,Adventure,Fantasy","2005"
"tt0120679","Frida","Biography,Drama,Romance","2002"
"tt0120681","From Hell","Crime,Horror,Mystery","2001"
"tt0120689","The Green Mile","Crime,Drama,Fantasy","1999"
"tt0120755","Mission: Impossible II","Action,Adventure,Thriller","2000"
"tt0120762","Mulan","Adventure,Animation,Comedy","1998"
"tt0120791","Practical Magic","Comedy,Drama,Fantasy","1998"
"tt0120804","Resident Evil","Action,Horror,Sci-Fi","2002"
"tt0120902","The X Files","Adventure,Drama,Mystery","1998"
"tt0120903","X-Men","Action,Adventure,Sci-Fi","2000"
"tt0120910","Fantasia 2000","Animation,Family,Fantasy","1999"
"tt0124315","The Cider House Rules","Drama,Romance","1999"
"tt0125022","Heartbreakers","Comedy,Crime,Romance","2001"
"tt0127536","Elizabeth","Biography,Drama,History","1998"
"tt0129290","Patch Adams","Biography,Comedy,Drama","1998"
"tt0130623","Dinosaur","Adventure,Animation,Drama","2000"
"tt0133152","Planet of the Apes","Action,Adventure,Sci-Fi","2001"
"tt0139654","Training Day","Crime,Drama,Thriller","2001"
"tt0142342","Big Daddy","Comedy,Drama","1999"
"tt0144528","Nutty Professor II: The Klumps","Comedy,Romance,Sci-Fi","2000"
"tt0145660","Austin Powers: The Spy Who Shagged Me","Action,Adventure,Comedy","1999"
"tt0146316","Lara Croft: Tomb Raider","Action,Adventure,Fantasy","2001"
"tt0146838","Any Given Sunday","Drama,Sport","1999"
"tt0146984","The Legend of Bagger Vance","Drama,Sport","2000"
"tt0150377","Double Jeopardy","Crime,Drama,Mystery","1999"
"tt0154420","The Celebration","Drama","1998"
"tt0157472","Clockstoppers","Action,Adventure,Comedy","2002"
"tt0158371","Sweet and Lowdown","Comedy,Drama,Music","1999"
"tt0159273","Behind Enemy Lines","Action,Drama,Thriller","2001"
"tt0159365","Cold Mountain","Adventure,Drama,Romance","2003"
"tt0160127","Charlie's Angels","Action,Adventure,Comedy","2000"
"tt0161081","What Lies Beneath","Drama,Horror,Mystery","2000"
"tt0161083","What's the Worst That Could Happen?","Comedy,Crime","2001"
"tt0161860","Nowhere in Africa","Biography,Drama,History","2001"
"tt0162222","Cast Away","Adventure,Drama,Romance","2000"
"tt0162661","Sleepy Hollow","Fantasy,Horror,Mystery","1999"
"tt0163025","Jurassic Park III","Action,Adventure,Sci-Fi","2001"
"tt0163187","Runaway Bride","Comedy,Romance","1999"
"tt0163651","American Pie","Comedy","1999"
"tt0163978","The Beach","Adventure,Drama,Romance","2000"
"tt0164184","The Sum of All Fears","Action,Drama,Thriller","2002"
"tt0164334","Along Came a Spider","Crime,Drama,Mystery","2001"
"tt0164912","Stuart Little","Adventure,Comedy,Family","1999"
"tt0165982","Sinbad: Legend of the Seven Seas","Adventure,Animation,Comedy","2003"
"tt0166813","Spirit: Stallion of the Cimarron","Adventure,Animation,Drama","2002"
"tt0168786","Antwone Fisher","Biography,Drama","2002"
"tt0169547","American Beauty","Drama","1999"
"tt0173840","Final Fantasy: The Spirits Within","Action,Adventure,Animation","2001"
"tt0174480","Autumn in New York","Drama,Romance","2000"
"tt0177789","Galaxy Quest","Adventure,Comedy,Sci-Fi","1999"
"tt0180093","Requiem for a Dream","Drama","2000"
"tt0180734","Hardball","Comedy,Drama,Sport","2001"
"tt0181536","Finding Forrester","Drama,Sport","2000"
"tt0181689","Minority Report","Action,Crime,Mystery","2002"
"tt0181739","Osmosis Jones","Action,Adventure,Animation","2001"
"tt0181852","Terminator 3: Rise of the Machines","Action,Sci-Fi","2003"
"tt0181865","Traffic","Crime,Drama,Thriller","2000"
"tt0183649","Phone Booth","Crime,Thriller","2002"
"tt0184791","O","Drama,Romance,Thriller","2001"
"tt0184858","Reindeer Games","Action,Crime,Thriller","2000"
"tt0185371","House on Haunted Hill","Horror,Mystery,Thriller","1999"
"tt0185431","Little Nicky","Comedy,Fantasy","2000"
"tt0187078","Gone in 60 Seconds","Action,Crime,Thriller","2000"
"tt0187738","Blade II","Action,Horror,Sci-Fi","2002"
"tt0188453","Birthday Girl","Comedy,Crime,Thriller","2001"
"tt0190138","The Whole Nine Yards","Comedy,Crime","2000"
"tt0190374","Dungeons & Dragons","Action,Adventure,Fantasy","2000"
"tt0190865","Vertical Limit","Action,Adventure,Drama","2000"
"tt0191133","The Fighting Temptations","Comedy,Drama,Music","2003"
"tt0191397","The Replacements","Comedy,Sport","2000"
"tt0191754","28 Days","Comedy,Drama","2000"
"tt0195685","Erin Brockovich","Biography,Drama","2000"
"tt0195714","Final Destination","Horror,Thriller","2000"
"tt0196216","Small Time Crooks","Comedy,Crime","2000"
"tt0196229","Zoolander","Comedy","2001"
"tt0196857","Play It to the Bone","Comedy,Drama,Sport","1999"
"tt0199626","In the Cut","Mystery,Thriller","2003"
"tt0200550","Coyote Ugly","Comedy,Drama,Music","2000"
"tt0202470","Rock Star","Drama,Music","2001"
"tt0203230","You Can Count on Me","Drama","2000"
"tt0204946","Bring It On","Comedy,Romance,Sport","2000"
"tt0205000","Deuce Bigalow: Male Gigolo","Comedy,Romance","1999"
"tt0205271","Dr. T & the Women","Comedy,Drama,Romance","2000"
"tt0206275","Save the Last Dance","Drama,Music,Romance","2001"
"tt0206314","Joy Ride","Mystery,Thriller","2001"
"tt0206963","My First Mister","Comedy,Drama,Romance","2001"
"tt0207201","What Women Want","Comedy,Fantasy,Romance","2000"
"tt0209475","The Wedding Planner","Comedy,Romance","2001"
"tt0209958","The Cell","Crime,Horror,Sci-Fi","2000"
"tt0210234","Pok?mon the Movie 2000","Action,Adventure,Animation","1999"
"tt0210299","Songcatcher","Drama,Music","2000"
"tt0211181","102 Dalmatians","Adventure,Comedy,Family","2000"
"tt0212338","Meet the Parents","Comedy,Romance","2000"
"tt0212346","Miss Congeniality","Action,Comedy,Crime","2000"
"tt0212985","Hannibal","Crime,Drama,Thriller","2001"
"tt0213149","Pearl Harbor","Action,Drama,Romance","2001"
"tt0213203","Rugrats in Paris","Adventure,Animation,Comedy","2000"
"tt0213790","The Ladies Man","Comedy","2000"
"tt0213847","Malena","Drama,Romance,War","2000"
"tt0215750","Enemy at the Gates","Action,Drama,War","2001"
"tt0216216","The 6th Day","Action,Mystery,Sci-Fi","2000"
"tt0217505","Gangs of New York","Crime,Drama","2002"
"tt0217869","Unbreakable","Drama,Mystery,Sci-Fi","2000"
"tt0218619","Soul Survivors","Horror,Mystery,Thriller","2001"
"tt0218967","The Family Man","Comedy,Drama,Fantasy","2000"
"tt0219653","Dracula 2000","Action,Fantasy,Horror","2000"
"tt0219699","The Gift","Drama,Fantasy,Horror","2000"
"tt0219952","Lucky Numbers","Comedy,Crime","2000"
"tt0219965","Bandits","Action,Comedy,Crime","2001"
"tt0220506","Halloween: Resurrection","Horror,Thriller","2002"
"tt0221027","Blow","Biography,Crime,Drama","2001"
"tt0221799","An American Rhapsody","Drama","2001"
"tt0223897","Pay It Forward","Drama","2000"
"tt0224578","The Vertical Ray of the Sun","Drama,Romance","2000"
"tt0225071","Angel Eyes","Drama,Romance","2001"
"tt0227445","The Score","Crime,Drama,Thriller","2001"
"tt0227538","Spy Kids","Action,Adventure,Comedy","2001"
"tt0229260","Book of Shadows: Blair Witch 2","Adventure,Fantasy,Horror","2000"
"tt0230011","Atlantis: The Lost Empire","Action,Adventure,Animation","2001"
"tt0230030","Bedazzled","Comedy,Fantasy","2000"
"tt0231402","Crocodile Dundee in Los Angeles","Adventure,Comedy,Crime","2001"
"tt0231775","Down to Earth","Comedy,Fantasy","2001"
"tt0235327","Dark Days","Documentary","2000"
"tt0235679","Pok?mon 3 the Movie: Spell of the Unown","Action,Adventure,Animation","2000"
"tt0236493","The Mexican","Adventure,Comedy,Drama","2001"
"tt0237572","The Pledge","Crime,Drama,Mystery","2001"
"tt0238924","The Dangerous Lives of Altar Boys","Comedy,Drama","2002"
"tt0239395","Cats & Dogs","Action,Adventure,Comedy","2001"
"tt0239949","Say It Isn't So","Comedy,Romance","2001"
"tt0239986","Sidewalks of New York","Comedy,Romance","2001"
"tt0240149","The Girl from Paris","Comedy,Drama","2001"
"tt0240462","Dr. Dolittle 2","Comedy,Family,Fantasy","2001"
"tt0240510","The Four Feathers","Adventure,Drama,Romance","2002"
"tt0240772","Ocean's Eleven","Crime,Thriller","2001"
"tt0240890","Serendipity","Comedy,Romance","2001"
"tt0240980","Till Human Voices Wake Us","Drama,Romance","2002"
"tt0241025","Vanity Fair","Drama","2004"
"tt0241760","The New Guy","Comedy","2002"
"tt0242423","Dude, Where's My Car?","Comedy,Mystery,Sci-Fi","2000"
"tt0242998","Valentine","Horror,Mystery,Thriller","2001"
"tt0243017","Waking Life","Animation,Drama,Fantasy","2001"
"tt0243255","Fat Girl","Drama","2001"
"tt0243585","Stuart Little 2","Adventure,Comedy,Family","2002"
"tt0243736","40 Days and 40 Nights","Comedy,Romance","2002"
"tt0244000","American Outlaws","Action,Drama,Western","2001"
"tt0244244","Swordfish","Action,Crime,Thriller","2001"
"tt0245574","Y Tu Mam? Tambi?n","Drama","2001"
"tt0245674","Thir13en Ghosts","Fantasy,Horror","2001"
"tt0245686","Joe Dirt","Adventure,Comedy,Drama","2001"
"tt0245712","Amores Perros","Drama,Thriller","2000"
"tt0245844","The Count of Monte Cristo","Action,Adventure,Drama","2002"
"tt0246460","Die Another Day","Action,Adventure,Thriller","2002"
"tt0246500","Who Is Cletis Tout?","Action,Comedy,Crime","2001"
"tt0246772","Mostly Martha","Comedy,Drama,Romance","2001"
"tt0247638","The Princess Diaries","Comedy,Family,Romance","2001"
"tt0249371","Ashoka the Great","Action,Biography,Drama","2001"
"tt0249478","Domestic Disturbance","Crime,Thriller","2001"
"tt0250323","The Deep End","Crime,Drama,Mystery","2001"
"tt0250687","Rat Race","Action,Adventure,Comedy","2001"
"tt0250797","Unfaithful","Drama,Romance,Thriller","2002"
"tt0250809","Our Lady of the Assassins","Crime,Drama","2000"
"tt0251075","Evolution","Comedy,Sci-Fi","2001"
"tt0251127","How to Lose a Guy in 10 Days","Comedy,Romance","2003"
"tt0251160","John Q","Crime,Drama,Thriller","2002"
"tt0251736","House of 1000 Corpses","Horror","2003"
"tt0252028","Surviving Christmas","Comedy,Romance","2004"
"tt0252076","Maid in Manhattan","Comedy,Drama,Romance","2002"
"tt0252866","American Pie 2","Comedy","2001"
"tt0253556","Reign of Fire","Action,Adventure,Fantasy","2002"
"tt0253754","Star Trek: Nemesis","Action,Adventure,Sci-Fi","2002"
"tt0253840","The Triumph of Love","Comedy,Romance","2001"
"tt0255819","Baby Boy","Crime,Drama,Romance","2001"
"tt0256415","Sweet Home Alabama","Comedy,Romance","2002"
"tt0256524","The Curse of the Jade Scorpion","Comedy,Crime,Mystery","2001"
"tt0257044","Road to Perdition","Crime,Drama,Thriller","2002"
"tt0257076","S.W.A.T.","Action,Adventure,Crime","2003"
"tt0257106","Scary Movie 2","Comedy,Horror","2001"
"tt0257360","About Schmidt","Drama","2002"
"tt0257516","Cursed","Comedy,Horror,Mystery","2005"
"tt0257568","Kangaroo Jack","Action,Adventure,Comedy","2003"
"tt0258068","The Quiet American","Drama,Romance,Thriller","2002"
"tt0258463","The Bourne Identity","Action,Mystery,Thriller","2002"
"tt0258816","The Reckoning","Crime,Drama,Mystery","2002"
"tt0259324","Ghost Rider","Action,Fantasy,Thriller","2007"
"tt0259446","My Big Fat Greek Wedding","Comedy,Drama,Romance","2002"
"tt0259711","Vanilla Sky","Fantasy,Mystery,Romance","2001"
"tt0260866","Don't Say a Word","Drama,Mystery,Thriller","2001"
"tt0261289","Serving Sara","Comedy,Romance","2002"
"tt0262432","George Washington","Drama","2000"
"tt0263757","Uptown Girls","Comedy,Drama,Romance","2003"
"tt0264464","Catch Me If You Can","Biography,Crime,Drama","2002"
"tt0264472","Changing Lanes","Drama,Thriller","2002"
"tt0264616","Frailty","Crime,Drama,Thriller","2001"
"tt0264761","Kissing Jessica Stein","Comedy,Drama,Romance","2001"
"tt0264935","Murder by Numbers","Crime,Mystery,Thriller","2002"
"tt0265029","America's Sweethearts","Comedy,Romance","2001"
"tt0265086","Black Hawk Down","Action,Drama,History","2001"
"tt0265208","The Girl Next Door","Comedy,Drama,Romance","2004"
"tt0265298","Big Fat Liar","Adventure,Comedy,Family","2002"
"tt0265343","Monsoon Wedding","Comedy,Drama,Romance","2001"
"tt0265459","One Hour Photo","Drama,Thriller","2002"
"tt0265662","The Rookie","Drama,Family,Sport","2002"
"tt0266391","The Cat's Meow","Crime,Drama,Romance","2001"
"tt0266465","A Man Apart","Action,Crime,Drama","2003"
"tt0266489","Duplex","Comedy","2003"
"tt0266915","Rush Hour 2","Action,Comedy,Crime","2001"
"tt0266987","Spy Game","Action,Crime,Thriller","2001"
