Factor,Coefficient,StdErr,t_stat,p_value,Tier
Factor_16,-0.1377390971635011,0.014973159448572262,-9.199067012983352,0.0,STRONG
Factor_26,-0.09047660663027352,0.02583036929340575,-3.5027221485900837,0.0004664496818072017,STRONG
Factor_17,-0.0531822623469331,0.014767579456380197,-3.6012849975868044,0.00032116588741093466,STRONG
Factor_20,-0.05024292470221327,0.011946224263212407,-4.205757701781388,2.669078025507865e-05,STRONG
Factor_8,-0.032347156498737664,0.008607903389042833,-3.7578438136181904,0.00017425501203849336,STRONG
Factor_28,-0.028762694540182255,0.01472308617948931,-1.9535778157877988,0.050832895857493954,WEAK
Factor_4,-0.026162867724716952,0.016443318437169265,-1.59109414712648,0.11168116418580443,WEAK
Factor_2,-0.019472673562691983,0.012996854300546002,-1.4982605107663576,0.1341582213720529,WEAK
Factor_12,0.011983401507509575,0.010524471504629701,1.1386226379384554,0.2549406374433618,WEAK
Factor_13,0.016463083614624313,0.010441136670368022,1.5767520466757796,0.11494543004604152,WEAK
