Factor,Coefficient,StdErr,p_value,Tier
Factor_2,1.7114341888980023,0.6339959734946704,0.0069841991160342065,SUGGESTIVE
Factor_25,-1.3014794806444492,0.7059593476772122,0.06534466351531698,WEAK
Factor_5,-1.081207430998572,0.69404573422185,0.11937724794805415,WEAK
Factor_29,-0.9558760991942549,0.684424262314487,0.16263214565051465,WEAK
Factor_3,-0.9017425220989803,0.33236895440219,0.006703862863511212,SUGGESTIVE
Factor_8,-0.7982603600831293,0.2642291737189813,0.0025397022668047775,SUGGESTIVE
Factor_4,0.7597657192567415,0.7193961921280863,0.29099948832706857,WEAK
Factor_16,-0.751615886322681,0.4621580845715117,0.1039860692486807,WEAK
Factor_27,-0.6854064982879637,0.6904923821508451,0.3209674109401779,WEAK
Factor_26,-0.6479655922215987,0.9365892948732093,0.48909373562764413,WEAK
Factor_19,-0.6017530392896473,0.3056995871782569,0.04910780569827855,SUGGESTIVE
Factor_15,-0.5751117415530045,0.2896886689941114,0.04720387292778483,SUGGESTIVE
Factor_11,-0.5657143880133839,0.5219606668547926,0.27852831903783826,WEAK
Factor_28,-0.5593360532251409,0.688223115776753,0.41643966035620217,WEAK
Factor_9,-0.5459819586761248,0.28501401878522503,0.055505980956708445,WEAK
Factor_24,-0.5061127439623092,0.5479899505715621,0.35577839512936205,WEAK
Factor_12,-0.49531424345433966,0.2691412941973838,0.06581457285562986,WEAK
Factor_6,-0.4725907427724986,0.33050216155517403,0.15284387047593007,WEAK
Factor_22,-0.46231403622917977,0.6880398583918244,0.5016800309400087,WEAK
Factor_20,-0.46145323953697,0.2896475092435057,0.11122983418988719,WEAK
Factor_23,-0.46004525442864386,0.29061699233174465,0.11352696077776558,WEAK
Factor_13,0.4407677124885707,0.6848199381599221,0.5198668904055914,WEAK
Factor_10,-0.4044701417467481,0.3715999101798745,0.2764804288091285,WEAK
Factor_7,-0.37851358189647266,0.3030080708576464,0.2116933727978243,WEAK
Factor_18,-0.2942388350486658,0.6862132473272855,0.6681092355838771,WEAK
Factor_14,-0.15598976851542934,0.3259886975145072,0.6323197819689557,WEAK
Factor_21,-0.12609227007616902,0.6966979100600704,0.8563910050487786,WEAK
Factor_17,-0.10451840659564213,0.5308955547815036,0.8439410024307112,WEAK
Factor_0,-0.018745674252693623,0.0017904360909773553,0.0,STRONG
Factor_1,-0.006985273099506625,0.00557392538800461,0.2102276804725911,WEAK
