cluster,rank,feature,movie_count
0,1,About a Family,2411
0,2,Music-Rich,2394
0,3,Hostile Gloom,2393
0,4,Family Struggles,2393
0,5,Somber and Eerie Tone,2378
0,6,A Feeling of Surprise,2319
0,7,The Great Chase,2314
0,8,A Tale of Mourning,2282
0,9,A Late 20th and Early 21st Century Narrative,2267
0,10,Psychological Manipulation,2266
0,11,Sad Ending,2261
0,12,Dialog-Driven,2244
0,13,Budding romance,2238
0,14,Stories of Imprisonment,2209
0,15,Narrative Originality,2206
0,16,A Poignant Mood,2201
0,17,Psychological Crime,2138
0,18,Feel-Good Narrative,2015
0,19,Visceral Cinematography,2004
0,20,Dry Humor Dialogue,1984
0,21,A Life Story,1972
0,22,The Hero's Journey,1958
0,23,A Dominant Leader,1936
0,24,Built Around Humor,1926
0,25,Focus on Culture,1925
0,26,Heartfelt and Hopeful,1908
0,27,A Stock Story,1894
0,28,A Focus on the Issues,1893
0,29,Set in Europe,1887
0,30,Heavy Gunplay,1887
0,31,Friends Against the Odds,1876
0,32,Comedic Protagonist,1842
0,33,A Romantic Drama,1830
0,34,Positive and Sentimental,1818
0,35,Intended Fright Response,1816
0,36,A Friendship Drama,1804
0,37,Courtship,1788
0,38,Moral Temptation,1744
0,39,Psychologically Unstable Protagonist,1732
0,40,The Underdog Wins,1732
0,41,"Positive, Uplifting Emotional Tone",1714
0,42,Going after the MacGuffin,1701
0,43,A quest for retribution,1690
0,44,A Lead with Expertise,1673
0,45,A Father's Arc,1655
0,46,A Family Drama,1652
0,47,Alternative Reality,1649
0,48,Music-led Storytelling,1640
0,49,Criminal Underbelly,1591
0,50,Putting Others Above Oneself,1581
1,1,Character-Driven,6371
1,2,A Formidable Challenge,5865
1,3,Relatable Protagonist,5806
1,4,Plot-Centric,5801
1,5,A Focus on Mood,5762
1,6,Conquering Adversity,5695
1,7,Self Discovery,5054
1,8,A Lead Worth Cheering For,4954
1,9,Polished and cohesive script,4931
1,10,Suspenseful atmosphere,4742
1,11,Flawed Protagonist,4628
1,12,Moral Exploration,4576
1,13,Confronting One's Shadow,4553
1,14,Repeated Setbacks,4526
1,15,Narrative Driven by the Context,4445
1,16,The Unraveling of Trust,4401
1,17,Set in America,4391
1,18,Energetic Emotional Tone,4362
1,19,Brave Protagonist,4361
1,20,A Tidy Ending,4295
1,21,Heightened Tension,4160
1,22,Profound & Reflective,4132
1,23,A Mainstream Feature,3953
1,24,Female-centric narrative,3838
1,25,The Hero's Journey,3638
1,26,A Relentless Chase,3599
1,27,Moral Conflict,3588
1,28,Changing Life Direction,3579
1,29,Fast-paced,3564
1,30,The Struggle for Survival,3559
1,31,Psychological Distress,3534
1,32,Uneasy Characters,3527
1,33,Masterful acting,3521
1,34,Happy Ending,3499
1,35,Predominant Set Design,3427
1,36,Somber atmosphere,3367
1,37,Advanced Cinematography and Edit Work,3334
1,38,Risky Gambit,3205
1,39,Act of treachery,3183
1,40,Charming protagonist,3138
1,41,Psychological Suspense,3069
1,42,Signature directorial style,3024
1,43,Violent Crimes,3006
1,44,Ominous and Chilling,2999
1,45,A Group Quest,2981
1,46,Direction-Driven,2963
1,47,A Heterosexual Relationship,2902
1,48,Melancholy Atmosphere,2850
1,49,Family-devoted Protagonist,2845
1,50,Situational Humor,2818
