feature,feature_id,movie_count,cluster
Metropolitan story,440,1179,0
A village story,234,1088,0
Neighborhood story,69,576,0
Rural Story,404,1340,0
Island Setting,446,340,0
Forest Setting,351,578,0
A fantastical realm,62,665,0
Set in America,1058,4391,1
Set in Europe,1031,1887,0
Set in Asia,38,976,0
Set is East Asia,417,667,0
Set in India,144,292,0
Set in NYC,233,467,0
Set in Los Angeles,434,442,0
Set in California,462,738,0
Set in the American South,1,343,0
Set in the UK,360,788,0
Set in France,206,418,0
Set in Japan,22,285,0
A post-2015 narrative,171,845,0
A Late 20th and Early 21st Century Narrative,86,2267,0
The Post-War Era,483,866,0
Mid-20th Century Narrative ,87,627,0
The Pre-Modern Era,137,682,0
High Medieval Fantasy,182,354,0
Set in the Future,41,352,0
Use of non-linear flashbacks,460,1277,0
The Aristocrats,454,459,0
Affluent Social Class,1080,799,0
Disadvantaged Social Class,115,1074,0
Stories of Imprisonment,255,2209,0
The Entertainment Industry,427,707,0
The Fine Arts,43,786,0
Melee Combat,431,2717,1
Heavy Gunplay,1050,1887,0
A Sports Setting,111,427,0
Philosophical or Intellectual Exploration,78,1070,0
Moral Exploration,84,4576,1
The Unraveling of Trust,181,4401,1
Act of treachery,211,3183,1
A quest for retribution,77,1690,0
Uneasy Characters,257,3527,1
Religious themes,105,555,0
Story With a Focus on Gender,149,672,0
History-in-the-making,1028,989,0
Alternative Reality,518,1649,0
Dystopian,471,557,0
Real-world satire,381,766,0
Female-centric narrative,93,3838,1
Coming-of-Age Tale,304,1133,0
A Black Character-Driven Story,411,798,0
An Asian-Driven Story,1016,1048,0
Extraterrestrial Life,478,315,0
The Hero's Journey,177,1958,0
The Villian's Story,450,554,0
Flawed Protagonist,1020,4628,1
Charming protagonist,243,3138,1
Brave Protagonist,362,4361,1
Comedic Protagonist,187,1842,0
Emotionally Withdrawn Protagonist,1011,2577,1
Relatable Protagonist,444,5806,1
Family-devoted Protagonist,298,2845,1
Genius Protagonist,1034,1509,0
Innocent protagonist,180,1298,0
Psychologically Unstable Protagonist,1067,1732,0
A Heterosexual Relationship,44,2902,1
A Father's Arc,507,1655,0
A Mother's Arc,1079,1281,0
Brothers or Sisters,258,1444,0
Parent-Child Narrative,1041,2534,1
A Dominant Leader,1061,1936,0
A Relentless Chase,1052,3599,1
Courtship,1078,1788,0
Confronting One's Shadow,293,4553,1
Self Discovery,119,5054,1
Conquering Adversity,425,5695,1
Repeated Setbacks,338,4526,1
A Life Story,39,1972,0
Coming of Age,52,1231,0
Changing Life Direction,279,3579,1
Moral Temptation,438,1744,0
Grappling with Mortality,215,1395,0
A Tale of Mourning,192,2282,0
Moral Conflict,420,3588,1
The Struggle for Survival,367,3559,1
Going after the MacGuffin,162,1701,0
To the Rescue,242,1229,0
Threatening Wildlife,134,610,0
Talking Animals,303,535,0
An Artist's Story,152,838,0
Live Performance Arts,352,680,0
Childhood Narrative,122,1187,0
Young Adventurers,131,503,0
Formative hardships,107,1036,0
Violent Crimes,488,3006,1
Criminal Underbelly,118,1591,0
Cloak-and-Dagger ,308,646,0
Family Restoration,116,688,0
Picture of Idealic Family Life,331,882,0
Family Struggles,6,2393,0
About a Family,482,2411,0
Childhood Bonds,1007,908,0
Friends Against the Odds,201,1876,0
A Group Quest,437,2981,1
Male Friends and Bonding,366,2600,1
Female Friends and Bonding,519,882,0
Biopic,1046,650,0
Biographical narrative of a historical personality,288,490,0
Avarice,221,1383,0
Pursuit of Justice,295,2487,1
Budding romance,355,2238,0
Will-They-Won't-They Relationship,141,1422,0
Losing One's Love,1081,1110,0
Perilous Liaison,419,739,0
Relationship Turmoil,1003,1523,0
Romantic Triangle,374,753,0
A Law Enforcement Tale,227,679,0
A Detective Story,74,1369,0
Political narrative,455,1098,0
Psychological challenges,315,846,0
Psychological Distress,496,3534,1
Psychological Manipulation,1037,2266,0
A Tale of Science,382,624,0
A Tech-Centric Narrative,309,900,0
Enchanted Creatures and Spells,99,1195,0
Supernatural Phenomena,68,1149,0
Ghosts,468,410,0
A Focus on Feminism,1030,1167,0
Focus on Culture,129,1925,0
Societal Decline,1014,1081,0
Focus on Asian Culture,432,623,0
A Tale of Wartime,28,743,0
The Great Chase,218,2314,0
The Hero's Journey,400,3638,1
"Hardship, Loss, and Healing",259,2551,1
Good-Versus-Evil Conflict,284,2776,1
