movie_id,movie_name,genre,year,box_office,box_office_source,value_origin,amount_match_project2
tt0023293,The Old Dark House,"Adventure,Comedy,Drama",1932,25678,project_2_override,derived_from_db,True
tt0035423,Kate & Leopold,"Comedy,Fantasy,Romance",2001,47121859,project_2_override,derived_from_db,True
tt0044000,The White Sheik,"Comedy,Drama,Romance",1952,50850,project_2_override,derived_from_db,True
tt0045274,Umberto D.,Drama,1952,71816,project_2_override,derived_from_db,True
tt0046478,Ugetsu,"Drama,Fantasy,War",1953,11197,project_2_override,derived_from_db,True
tt0050634,The Cranes Are Flying,"Drama,Romance,War",1957,17923,project_2_override,derived_from_db,True
tt0063032,The Great Silence,"Drama,Western",1968,53074,project_2_override,derived_from_db,True
tt0063823,Yellow Submarine,"Adventure,Animation,Comedy",1968,992305,project_2_override,derived_from_db,True
tt0064603,The Love Bug,"Comedy,Family,Sport",1968,51264000,project_2_override,derived_from_db,True
tt0065207,Where Eagles Dare,"Action,Adventure,War",1968,7100000,project_2_override,derived_from_db,True
tt0067454,Multiple Maniacs,"Comedy,Crime,Horror",1970,33036,project_2_override,derived_from_db,True
tt0079672,Opening Night,Drama,1977,23488,project_2_override,derived_from_db,True
tt0082979,Reds,"Biography,Drama,History",1981,40382659,project_2_override,derived_from_db,True
tt0084707,Sophie's Choice,"Drama,Romance",1982,30036000,project_2_override,derived_from_db,True
tt0086034,Octopussy,"Action,Adventure,Thriller",1983,67893619,project_2_override,derived_from_db,True
tt0092644,Beverly Hills Cop II,"Action,Comedy,Crime",1987,153665036,project_2_override,derived_from_db,True
tt0097940,Mystery Train,"Comedy,Crime,Drama",1989,1541218,project_2_override,derived_from_db,True
tt0098724,"Sex, Lies, and Videotape",Drama,1989,24741667,project_2_override,derived_from_db,True
tt0100403,Predator 2,"Action,Horror,Sci-Fi",1990,30669413,project_2_override,derived_from_db,True
tt0101761,The Doors,"Biography,Drama,Music",1991,34416893,project_2_override,derived_from_db,True
tt0103644,Alien³,"Action,Horror,Sci-Fi",1992,55473545,project_2_override,derived_from_db,True
