movie_id,movie_name,genre,User Rating,Tomatometer,Popcornmeter,RT URL,box_office,box_office_source
tt11137336,The Beauty,Romance,5.1,NF,NF,https://www.rottentomatoes.com/m/the_beauty,,missing
tt1309557,Eamon,"Comedy, Romance",5.8,NF,NF,https://www.rottentomatoes.com/m/eamon,,missing
tt0038504,Earl Carroll Sketchbook,"Comedy, Music, Romance",6.6,NF,NF,https://www.rottentomatoes.com/m/earl_carroll_sketchbook,,missing
tt3297804,Art Idol,"Comedy, Drama, Romance",6.5,NF,NF,https://www.rottentomatoes.com/m/art_idol,,missing
tt0140917,O Corpo Ardente,"Drama, Romance",6.8,NF,NF,https://www.rottentomatoes.com/m/the_burning_body,,missing
tt0169253,Songs and Saddles,"Action, Adventure, Crime",4.8,NF,NF,https://www.rottentomatoes.com/m/songs_and_saddles,,missing
tt2527256,My Cornerstone,"Comedy, Drama, Romance",6.3,NF,NF,https://www.rottentomatoes.com/m/my_cornerstone,,missing
tt4556662,Further Ed,"Comedy, Romance",6.7,NF,NF,https://www.rottentomatoes.com/m/further_ed,,missing
tt0032629,In Old Missouri,"Adventure, Comedy, Drama",6.0,NF,NF,https://www.rottentomatoes.com/m/in_old_missouri,,missing
tt0021030,Knowing Men,"Comedy, Romance",Not found,NF,NF,https://www.rottentomatoes.com/m/knowing_men,,missing
tt0027146,Two Sinners,Romance,7.7,NF,NF,https://www.rottentomatoes.com/m/two_sinners,,missing
tt0344568,Wo men hai pa,"Drama, Romance",4.9,NF,NF,https://www.rottentomatoes.com/m/who_is_in_my_life,,missing
tt0029272,Nobody's Wife,"Drama, Romance",6.2,NF,NF,https://www.rottentomatoes.com/m/nobodys_wife,,missing
tt0127163,Prisoners in Petticoats,"Action, Crime, Drama",6.1,NF,NF,https://www.rottentomatoes.com/m/prisoners_in_petticoats,,missing
tt0128542,Sluchaynyy vals,Romance,5.7,NF,NF,https://www.rottentomatoes.com/m/sluchaynyy_vals,,missing
tt14214828,Out with the Old,"Comedy, Romance",Not found,NF,NF,https://www.rottentomatoes.com/m/out_with_the_old,,missing
tt3212776,The Seventh Heaven,"Drama, Romance",4.9,NF,NF,https://www.rottentomatoes.com/m/the_seventh_heaven,,missing
tt6112836,Have You Seen My Movie?,"Adventure, Comedy, Romance",7.1,NF,NF,https://www.rottentomatoes.com/m/have_you_seen_my_movie,,missing
tt0027764,The House of a Thousand Candles,"Action, Romance",5.2,NF,NF,https://www.rottentomatoes.com/m/the_house_of_a_thousand_candles,,missing
tt0119331,Hunger: Longing for Love,"Romance, Drama",6.0,NF,NF,https://www.rottentomatoes.com/m/hunger_longing_for_love,,missing
tt22742012,Love Solutions,Romance,2.6,NF,NF,https://www.rottentomatoes.com/m/love_solutions,,missing
tt0166230,Jocelyn,"Drama, Romance",6.2,NF,NF,https://www.rottentomatoes.com/m/jocelyn,,missing
tt2977364,Kyz-Zhibek,"Drama, History, Romance",7.9,NF,NF,https://www.rottentomatoes.com/m/kyz_zhibek,,missing
tt0038801,One Exciting Week,"Comedy, Crime, Romance",6.4,NF,NF,https://www.rottentomatoes.com/m/one_exciting_week,,missing
tt4111044,Show Business,"Comedy, Drama, Romance",6.6,8.8,NF,https://www.rottentomatoes.com/m/show_business,,missing
tt0106742,Dollar Mambo,"Drama, Music, Romance",6.8,NF,NF,https://www.rottentomatoes.com/m/dollar_things,,missing
tt0039894,That's My Gal,"Action, Comedy, Music",6.5,NF,NF,https://www.rottentomatoes.com/m/thats_my_gal,,missing
tt0325758,Love = (Me)^3,Romance,6.2,NF,NF,https://www.rottentomatoes.com/m/love__me3,,missing
tt2645472,The Flame of Devotion,"Drama, Romance",7.3,NF,NF,https://www.rottentomatoes.com/m/the_flame_of_devotion,,missing
tt0188858,Los de la mesa 10,"Drama, Romance",7.3,NF,NF,https://www.rottentomatoes.com/m/those_at_table_10,,missing
tt2112981,Julien & Claire,"Drama, Music, Romance",7.5,NF,NF,https://www.rottentomatoes.com/m/julien_claire,,missing
tt3691942,Dracula's Angel,"Animation, Horror, Romance",5.5,NF,NF,https://www.rottentomatoes.com/m/draculas_angel,,missing
tt0312565,Choyeon,"Comedy, Drama, Romance",6.3,NF,NF,https://www.rottentomatoes.com/m/choyeon,,missing
tt1942899,Khlib i sil,"Drama, Romance",7.4,NF,NF,https://www.rottentomatoes.com/m/khlib_and_sil,,missing
tt0072145,Wu yi,"Drama, Romance",6.2,NF,NF,https://www.rottentomatoes.com/m/wu_yi,,missing
tt0010849,A Virtuous Vamp,"Comedy, Romance",6.7,NF,NF,https://www.rottentomatoes.com/m/a_virtuous_vamp,,missing
tt0206234,Qiu Haitang,"Drama, Romance",6.4,NF,NF,https://www.rottentomatoes.com/m/qiu_haitang,,missing
tt7493806,Lenses on Her Heart,"Comedy, Drama, Romance",6.2,NF,NF,https://www.rottentomatoes.com/m/lenses_on_her_heart,,missing
tt3656810,Tian xian pei,"Musical, Romance",7.1,NF,NF,https://www.rottentomatoes.com/m/tian_xian_pei,,missing
tt0034439,Ala-Arriba!,"Drama, Romance",7.1,NF,NF,https://www.rottentomatoes.com/m/wing_up,,missing
tt4704862,The Abstraction,"Drama, Horror, Romance",5.2,NF,NF,https://www.rottentomatoes.com/m/the_abstraction,,missing
tt9114286,Black Panther: Wakanda Forever,"Action, Adventure, Drama",Not found,8.4,NF,https://www.rottentomatoes.com/m/black_panther_wakanda_forever,,missing
tt1630029,Avatar: The Way of Water,"Action, Adventure, Fantasy",Not found,7.6,NF,https://www.rottentomatoes.com/m/avatar_the_way_of_water,684075767.0,reference
tt6710474,Everything Everywhere All at Once,"Action, Adventure, Comedy",Not found,9.3,NF,https://www.rottentomatoes.com/m/everything_everywhere_all_at_once,,missing
tt8760708,M3GAN,"Horror, Sci-Fi, Thriller",Not found,9.3,NF,https://www.rottentomatoes.com/m/m3gan,,missing
tt1825683,Black Panther,"Action, Adventure, Sci-Fi",Not found,4.8,NF,https://www.rottentomatoes.com/m/black_panther,,missing
tt0499549,Avatar,"Action, Adventure, Fantasy",Not found,8.1,NF,https://www.rottentomatoes.com/m/avatar,,missing
tt13539646,The Wandering Earth II,"Action, Adventure, Drama",6.7,8.3,NF,https://www.rottentomatoes.com/m/the_wandering_earth_ii,,missing
tt6443346,Black Adam,"Action, Adventure, Fantasy",Not found,3.9,NF,https://www.rottentomatoes.com/m/black_adam,168152111.0,reference
tt0816692,Interstellar,"Adventure, Drama, Sci-Fi",Not found,7.3,NF,https://www.rottentomatoes.com/m/interstellar,,missing
tt8041270,Jurassic World: Dominion,"Action, Adventure, Sci-Fi",Not found,2.9,NF,https://www.rottentomatoes.com/m/jurassic_world_dominion,376851080.0,reference
tt1392170,The Hunger Games,"Action, Adventure, Sci-Fi",Not found,8.4,NF,https://www.rottentomatoes.com/m/the_hunger_games,408010692.0,reference
tt1160419,Dune,"Action, Adventure, Drama",8.0,NF,NF,https://www.rottentomatoes.com/m/dune,108327830.0,reference
tt10954984,Nope,"Horror, Mystery, Sci-Fi",Not found,NF,NF,https://www.rottentomatoes.com/m/dune,123277080.0,reference
tt10648342,Thor: Love and Thunder,"Action, Adventure, Comedy",Not found,8.3,NF,https://www.rottentomatoes.com/m/nope,,missing
tt1375666,Inception,"Action, Adventure, Sci-Fi",Not found,6.3,NF,https://www.rottentomatoes.com/m/thor_love_and_thunder,,missing
tt10872600,Spider-Man: No Way Home,"Action, Adventure, Fantasy",8.1,8.7,NF,https://www.rottentomatoes.com/m/inception,,missing
tt4154796,Avengers: Endgame,"Action, Adventure, Drama",Not found,9.3,NF,https://www.rottentomatoes.com/m/spider_man_no_way_home,858373000.0,reference
tt22769820,Legion of Super-Heroes,"Animation, Action, Sci-Fi",Not found,9.4,NF,https://www.rottentomatoes.com/m/avengers_endgame,,missing
tt10298840,Strange World,"Animation, Action, Adventure",5.7,5,NF,https://www.rottentomatoes.com/m/legion_of_super_heroes,37968963.0,reference
tt1856101,Blade Runner 2049,"Action, Drama, Mystery",Not found,7.2,NF,https://www.rottentomatoes.com/m/strange_world,,missing
tt0133093,The Matrix,"Action, Sci-Fi",Not found,8.8,NF,https://www.rottentomatoes.com/m/blade_runner_2049,,missing
tt11286314,Don't Look Up,"Comedy, Drama, Sci-Fi",Not found,8.3,NF,https://www.rottentomatoes.com/m/the_matrix,,missing
tt5113044,Minions: The Rise of Gru,"Animation, Adventure, Comedy",Not found,6,NF,https://www.rottentomatoes.com/m/dont_look_up,,missing
tt0116629,Independence Day,"Action, Adventure, Sci-Fi",Not found,6.9,NF,https://www.rottentomatoes.com/m/minions_the_rise_of_gru,306169268.0,reference
tt20225374,Vesper,"Adventure, Drama, Sci-Fi",6.0,NF,NF,https://www.rottentomatoes.com/m/independence_day,,missing
tt6723592,Tenet,"Action, Sci-Fi, Thriller",Not found,NF,NF,https://www.rottentomatoes.com/m/vesper,58504105.0,reference
tt6334354,The Suicide Squad,"Action, Adventure, Comedy",Not found,7,NF,https://www.rottentomatoes.com/m/tenet,55817425.0,reference
tt0088763,Back to the Future,"Adventure, Comedy, Sci-Fi",Not found,9,NF,https://www.rottentomatoes.com/m/the_suicide_squad,,missing
tt0482571,The Prestige,"Drama, Mystery, Sci-Fi",Not found,9.3,NF,https://www.rottentomatoes.com/m/back_to_the_future,53089891.0,reference
tt0107290,Jurassic Park,"Action, Adventure, Sci-Fi",Not found,NF,NF,https://www.rottentomatoes.com/m/the_prestige,,missing
tt0478970,Ant-Man,"Action, Comedy, Sci-Fi",Not found,9.1,NF,https://www.rottentomatoes.com/m/jurassic_park,180202163.0,reference
tt0338013,Eternal Sunshine of the Spotless Mind,"Drama, Romance, Sci-Fi",Not found,8.3,NF,https://www.rottentomatoes.com/m/ant_man,,missing
tt1631867,Edge of Tomorrow,"Action, Adventure, Sci-Fi",Not found,9.3,NF,https://www.rottentomatoes.com/m/eternal_sunshine_of_the_spotless_mind,,missing
tt2194499,About Time,"Comedy, Drama, Fantasy",Not found,9.1,NF,https://www.rottentomatoes.com/m/edge_of_tomorrow,,missing
tt1951264,The Hunger Games: Catching Fire,"Action, Adventure, Sci-Fi",Not found,7,NF,https://www.rottentomatoes.com/m/about_time,424668047.0,reference
tt9419884,Doctor Strange in the Multiverse of Madness,"Action, Adventure, Fantasy",Not found,9,NF,https://www.rottentomatoes.com/m/the_hunger_games_catching_fire,411331607.0,reference
tt9032400,Eternals,"Action, Adventure, Fantasy",Not found,7.3,NF,https://www.rottentomatoes.com/m/doctor_strange_in_the_multiverse_of_madness,164870234.0,reference
tt2015381,Guardians of the Galaxy,"Action, Adventure, Comedy",Not found,4.7,NF,https://www.rottentomatoes.com/m/eternals,,missing
tt0078748,Alien,"Horror, Sci-Fi",Not found,9.1,NF,https://www.rottentomatoes.com/m/guardians_of_the_galaxy,,missing
tt11866324,Prey,"Action, Adventure, Drama",Not found,9.3,NF,https://www.rottentomatoes.com/m/alien,,missing
tt1392190,Mad Max: Fury Road,"Action, Adventure, Sci-Fi",Not found,NF,NF,https://www.rottentomatoes.com/m/prey,,missing
tt6264654,Free Guy,"Action, Adventure, Comedy",Not found,NF,NF,https://www.rottentomatoes.com/m/prey,121626598.0,reference
tt0076759,Star Wars,"Action, Adventure, Fantasy",Not found,9.7,NF,https://www.rottentomatoes.com/m/mad_max_fury_road,,missing
tt1386697,Suicide Squad,"Action, Adventure, Fantasy",Not found,8,NF,https://www.rottentomatoes.com/m/free_guy,325100054.0,reference
tt1798709,Her,"Drama, Romance, Sci-Fi",Not found,9.4,NF,https://www.rottentomatoes.com/m/star_wars,,missing
tt4154756,Avengers: Infinity War,"Action, Adventure, Sci-Fi",Not found,4.5,NF,https://www.rottentomatoes.com/m/suicide_squad,,missing
tt0066921,A Clockwork Orange,"Crime, Sci-Fi",Not found,9.5,NF,https://www.rottentomatoes.com/m/her,,missing
tt3464902,The Lobster,"Drama, Romance, Sci-Fi",Not found,8.5,NF,https://www.rottentomatoes.com/m/avengers_infinity_war,,missing
tt5463162,Deadpool 2,"Action, Adventure, Comedy",Not found,NF,NF,https://www.rottentomatoes.com/m/a_clockwork_orange,,missing
tt0289879,The Butterfly Effect,"Drama, Sci-Fi, Thriller",Not found,8.7,NF,https://www.rottentomatoes.com/m/the_lobster,57938693.0,reference
tt5095030,Ant-Man and the Wasp,"Action, Adventure, Comedy",Not found,8.3,NF,https://www.rottentomatoes.com/m/deadpool_2,216648740.0,reference
tt6644200,A Quiet Place,"Drama, Horror, Sci-Fi",Not found,NF,NF,https://www.rottentomatoes.com/m/the_butterfly_effect,,missing
tt0286106,Signs,"Drama, Mystery, Sci-Fi",Not found,8.7,NF,https://www.rottentomatoes.com/m/ant_man_and_the_wasp,227966634.0,reference
tt0083658,Blade Runner,"Action, Drama, Sci-Fi",Not found,9.6,NF,https://www.rottentomatoes.com/m/a_quiet_place,,missing
tt3748528,Rogue One: A Star Wars Story,"Action, Adventure, Sci-Fi",Not found,7.6,NF,https://www.rottentomatoes.com/m/signs,,missing
tt0088247,The Terminator,"Action, Sci-Fi",Not found,8.9,NF,https://www.rottentomatoes.com/m/blade_runner,,missing
tt0103064,Terminator 2: Judgment Day,"Action, Sci-Fi",Not found,8.4,NF,https://www.rottentomatoes.com/m/rogue_one_a_star_wars_story,,missing
tt0470752,Ex Machina,"Drama, Sci-Fi, Thriller",Not found,9,NF,https://www.rottentomatoes.com/m/the_terminator,,missing
tt4633694,Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure",Not found,9.1,NF,https://www.rottentomatoes.com/m/terminator_2_judgment_day,,missing
tt1677720,Ready Player One,"Action, Adventure, Sci-Fi",Not found,9.2,NF,https://www.rottentomatoes.com/m/ex_machina,,missing
tt0145487,Spider-Man,"Action, Adventure, Sci-Fi",Not found,9.7,NF,https://www.rottentomatoes.com/m/spider_man_into_the_spider_verse,,missing
tt0090605,Aliens,"Action, Adventure, Sci-Fi",Not found,7.1,NF,https://www.rottentomatoes.com/m/ready_player_one,,missing
tt0119116,The Fifth Element,"Action, Adventure, Sci-Fi",Not found,9,NF,https://www.rottentomatoes.com/m/spider_man,,missing
tt1355644,Passengers,"Drama, Romance, Sci-Fi",Not found,NF,NF,https://www.rottentomatoes.com/m/aliens,100014699.0,reference
tt12361974,Zack Snyder's Justice League,"Action, Adventure, Fantasy",Not found,7.1,NF,https://www.rottentomatoes.com/m/the_fifth_element,,missing
tt1483013,Oblivion,"Action, Adventure, Sci-Fi",Not found,NF,NF,https://www.rottentomatoes.com/m/passengers,89107235.0,reference
tt0246578,Donnie Darko,"Drama, Mystery, Sci-Fi",Not found,7.1,NF,https://www.rottentomatoes.com/m/zack_snyders_justice_league,,missing
tt0062622,2001: A Space Odyssey,"Adventure, Sci-Fi",Not found,2.6,NF,https://www.rottentomatoes.com/m/oblivion,,missing
tt0075860,Close Encounters of the Third Kind,"Drama, Sci-Fi",Not found,8.8,NF,https://www.rottentomatoes.com/m/donnie_darko,,missing
tt0319262,The Day After Tomorrow,"Action, Adventure, Sci-Fi",Not found,9,NF,https://www.rottentomatoes.com/m/2001_a_space_odyssey,186740799.0,reference
tt0407304,War of the Worlds,"Action, Adventure, Sci-Fi",Not found,9.1,NF,https://www.rottentomatoes.com/m/close_encounters_of_the_third_kind,,missing
tt0770828,Man of Steel,"Action, Adventure, Sci-Fi",Not found,NF,NF,https://www.rottentomatoes.com/m/the_day_after_tomorrow,291045518.0,reference
tt0458339,Captain America: The First Avenger,"Action, Adventure, Sci-Fi",Not found,7.6,NF,https://www.rottentomatoes.com/m/war_of_the_worlds,176654505.0,reference
tt2543164,Arrival,"Drama, Mystery, Sci-Fi",Not found,NF,NF,https://www.rottentomatoes.com/m/man_of_steel,,missing
tt3315342,Logan,"Action, Drama, Sci-Fi",Not found,8,NF,https://www.rottentomatoes.com/m/captain_america_the_first_avenger,,missing
tt5834426,Moonfall,"Action, Adventure, Sci-Fi",Not found,NF,NF,https://www.rottentomatoes.com/m/arrival,19060660.0,reference
tt6823368,Glass,"Drama, Horror, Sci-Fi",Not found,NF,NF,https://www.rottentomatoes.com/m/logan,111048468.0,reference
tt10838180,The Matrix Resurrections,"Action, Sci-Fi",Not found,3.5,NF,https://www.rottentomatoes.com/m/moonfall,37686805.0,reference
tt2527338,Star Wars: The Rise Of Skywalker,"Action, Adventure, Fantasy",Not found,NF,NF,https://www.rottentomatoes.com/m/glass,,missing
tt4513678,Ghostbusters: Afterlife,"Adventure, Comedy, Fantasy",Not found,6.3,NF,https://www.rottentomatoes.com/m/the_matrix_resurrections,129360575.0,reference
tt3659388,The Martian,"Adventure, Drama, Sci-Fi",Not found,5.1,NF,https://www.rottentomatoes.com/m/star_wars_the_rise_of_skywalker,,missing
tt0387808,Idiocracy,"Adventure, Comedy, Sci-Fi",Not found,6.3,NF,https://www.rottentomatoes.com/m/ghostbusters_afterlife,444093.0,reference
tt0093870,RoboCop,"Action, Crime, Sci-Fi",Not found,9.1,NF,https://www.rottentomatoes.com/m/the_martian,,missing
tt3480822,Black Widow,"Action, Adventure, Sci-Fi",Not found,7.1,NF,https://www.rottentomatoes.com/m/idiocracy,,missing
